TitleID,Region,Title versions,Update versions
000400DB00016302,USA,v32 v48 v64 v80 v96 v112 v128 v144 v160 v176 v192 v208 v224 v240 v256 v272 v288 v304 v320 v336 v352 v368 v384 v400 v416 v432 v448 v464 v480 v496 v512,2.0.0-2 Initial scan 2.1.0-3 2.1.0-4 3.0.0-5 3.0.0-6 4.0.0-7 4.1.0-8 4.2.0-9 4.3.0-10 5.0.0-11 6.1.0-12U 7.0.0-13 7.1.0-14 7.1.0-15 7.1.0-16 7.2.0-17 8.0.0-18 8.1.0-19 9.0.0-20 9.3.0-21 (stage3) 9.5.0-22 USA 9.5.0-23 9.6.0-24 9.7.0-25 9.9.0-26 10.0.0-27 10.2.0-28 10.4.0-29 10.5.0-30 10.6.0-31 10.7.0-32
000400DB00017302,USA,v2049 v2069 v3088 v4098 v4113 v4130 v4145 v4163 v4176 v5120 v5136 v6146 v6160 v6178 v6192 v7175 v7187 v7203 v8196 v8208 v9218 v9264 v9296 v9319 v9328 v9344 v9360 v10240 v10256 v10272 v10288 v10304 v10320 v10336 v10352,2.0.0-2 Initial scan 2.1.0-3 3.0.0-5 4.0.0-7 4.1.0-8 4.2.0-9 4.3.0-10 4.4.0-10 4.5.0-10 5.0.0-11 5.1.0-11 6.0.0-11 6.1.0-11 6.2.0-12 6.3.0-12 7.0.0-13 7.1.0-14 7.2.0-17 8.0.0-18 8.1.0-18 9.0.0-20 9.3.0-21 (stage3) 9.5.0-22 USA 9.6.0-24 9.7.0-25 9.8.0-25 9.9.0-26 10.0.0-27 10.1.0-27 10.2.0-28 10.3.0-28 10.4.0-29 10.5.0-30 10.6.0-31 10.7.0-32
0004013000001502,CHN,v3072 v4098 v5120 v6148 v8192 v9217,4.0.0-7 5.0.0-11 6.0.0-11 8.0.0-18 9.0.0-20 (stage2) 10.0.0-27
0004013000001502,USA,v1026 v2053 v3072 v4098 v5120 v6148 v8192 v9217,2.0.0-2 Initial scan 3.0.0-5 4.0.0-7 5.0.0-11 6.0.0-11 8.0.0-18 9.0.0-20 10.0.0-27
0004013000001502,JPN,v1026 v2053 v3072 v4098 v5120 v6148 v8192 v9217,2.0.0-2 Initial scan 3.0.0-5 4.0.0-7 5.0.0-11 6.0.0-11 8.0.0-18 9.0.0-20 10.0.0-27
0004013000001502,KOR,v3072 v4098 v5120 v6148 v8192 v9217,4.0.0-7 5.0.0-11 6.0.0-11 8.0.0-18 9.0.0-20 10.0.0-27
0004013000001502,EUR,v1026 v2053 v3072 v4098 v5120 v6148 v8192 v9217,2.0.0-2 Initial scan 3.0.0-5 4.0.0-7 5.0.0-11 6.0.0-11 8.0.0-18 9.0.0-20 (stage3) 10.0.0-27
0004013000001502,TWN,v3072 v4098 v5120 v6148 v8192 v9217,4.1.0-8 5.0.0-11 6.0.0-11 8.0.0-18 9.0.0-20 (stage4) 10.0.0-27
0004013000001503,CHN,v0,4.0.0-7
0004013000001503,USA,v0,2.0.0-2 Initial scan
0004013000001503,JPN,v0,2.0.0-2 Initial scan
0004013000001503,KOR,v0,4.0.0-7
0004013000001503,EUR,v0,2.0.0-2 Initial scan
0004013000001503,TWN,v0,4.1.0-8
0004013000001602,CHN,v3074 v4098 v5120 v6146 v7172 v9216 v10242 v11265,4.0.0-7 5.0.0-11 6.0.0-11 7.1.0-14 8.0.0-18 9.0.0-20 (stage2) 9.3.0-21 (stage4) 10.0.0-27
0004013000001602,USA,v1026 v2048 v3074 v4098 v5120 v6146 v7172 v9216 v10242 v11265,2.0.0-2 Initial scan 3.0.0-5 4.0.0-7 5.0.0-11 6.0.0-11 7.1.0-14 8.0.0-18 9.0.0-20 9.3.0-21 (stage3) 10.0.0-27
