TitleID,Region,Title versions,Update versions
000400300000D502,CHN,v2049,9.6.0-24
000400300000D502,KOR,v2049,9.6.0-24
0004009B00011002,CHN,v1,9.6.0-24
0004001000027000,KOR,v6149,9.6.0-24
0004001000027100,KOR,v2048,9.6.0-24
0004001000027200,KOR,v16,9.7.0-25
0004001000027400,KOR,v2049,9.6.0-24
0004001000027500,KOR,v16,9.7.0-25
0004001000027700,KOR,v16,9.7.0-25
0004001000027800,KOR,v5120,9.7.0-25
0004001000027900,KOR,v17420 v18432 v19465 v20482 v21504,9.6.0-24 9.7.0-25 10.0.0-27 10.4.0-29 10.7.0-32
0004001000027A00,KOR,v4106,9.6.0-24
0004001000027E00,KOR,v16,9.6.0-24
0004001000027F00,KOR,v1025,9.7.0-25
000400300000A902,KOR,v6166 v7175 v8192 v9216 v10240 v11266 v12288,9.6.0-24 9.7.0-25 10.1.0-27 10.2.0-28 10.3.0-28 10.4.0-29 10.6.0-31
000400300000AA02,KOR,v1024,9.6.0-24
000400300000AC02,KOR,v6144,9.6.0-24
000400300000AD02,KOR,v4096,9.6.0-24
000400300000AF02,KOR,v3072,9.6.0-24
000400300000B002,KOR,v2048,9.6.0-24
000400300000DE02,KOR,v1025,9.6.0-24
000400300000DF02,KOR,v1026,9.6.0-24
000400300000E102,KOR,v1025,9.6.0-24
000400300000E202,KOR,v2048,9.6.0-24
000400300000E302,KOR,v10247 v11264 v12293 v13312 v14337 v15360 v16384,9.6.0-24 9.8.0-25 10.0.0-27 10.1.0-27 10.3.0-28 10.4.0-29 10.7.0-32
0004009B00011A02,KOR,v1,9.7.0-25
0004009B00012502,KOR,v6148 v7169 v8193 v9216,9.6.0-24 10.0.0-27 10.3.0-28 10.4.0-29
0004009B00013502,KOR,v1025,9.7.0-25
0004009B00015502,KOR,v1024,9.7.0-25
000400DB00017502,KOR,v9319 v9328 v9344 v9360 v10240 v10256 v10272 v10288 v10304 v10320 v10336 v10352 v11264,9.6.0-24 9.7.0-25 9.8.0-25 9.9.0-26 10.0.0-27 10.1.0-27 10.2.0-28 10.3.0-28 10.4.0-29 10.5.0-30 10.6.0-31 10.7.0-32 11.0.0-33
00048005484E444B,KOR,v1024,9.7.0-25
0004001B00010802,CHN,v1024 v2048 v3072,9.5.0-23 10.5.0-30 11.0.0-33
0004001B00010802,USA,v1024 v2048 v3072,9.5.0-23 10.5.0-30 11.0.0-33
0004001B00010802,JPN,v1024 v2048 v3072,9.5.0-23 10.5.0-30 11.0.0-33
0004001B00010802,KOR,v1024 v2048 v3072,9.5.0-23 10.5.0-30 11.0.0-33
